City Name,State, Population, Area, Latitude, Longitude
Durham,North Carolina,228330,107.4,35°59′19″N,78°54′26″W
Abilene,Texas,117063,106.8,32°27′N,99°45′W
Palmdale,California,152750,106,34°34′52″N,118°6′2″W
Babbitt,Minnesota,1475,105.9,47°42′31″N,91°56′41″W
Surprise,Arizona,117517,105.7,33°37′50″N,112°22′00″W
Cape Coral,Florida,154305,105.7,26°38′23″N,81°58′57″W
Shreveport,Louisiana,199311,105.4,32°30′53″N,93°44′50″W
Rio Rancho,New Mexico,87521,103.4,35°17′10″N,106°40′14″W
Savannah,Georgia,136286,103.2,32°04′52″N,81°05′28″W
Reno,Nevada,225221,103,39°31′38″N,119°49′19″W
Orlando,Florida,238300,102.4,28°32′24″N,81°22′48″W
North Las Vegas,Nevada,216961,101.3,36°13′43″N,115°8′48″W
Tallahassee,Florida,181376,100.2,30°27′18″N,84°15′12″W
North Port,Florida,57357,99.6,27°3′58″N,82°10′19″W
Amarillo,Texas,190695,99.5,35°11′57″N,101°50′43″W
St. Marys,Pennsylvania,13070,99.3,41°25′40″N,78°33′40″W
Knoxville,Tennessee,178874,98.5,35.9617°N,83.9232°W
Sacramento,California,466488,97.9,38°34′54″N,121°29′40″W
Clarksville,Tennessee,132929,97.6,36°31′47″N,87°21′34″W
Nightmute,Alaska,280,96.9,60°29′29″N,164°49′34″W
Milwaukee,Wisconsin,594833,96.1,43.05°N,87.95°W
Arlington,Texas,365438,95.9,32°42′18″N,97°07′22″W
Lancaster,California,156633,94.3,34°41′N,118°9′W
Palm Springs,California,44552,94.1,33°49′49″N,116°32′43″W
Palm Coast,Florida,75180,89.9,29°32′17″N,81°13′24″W
Dothan,Alabama,65496,89.4,31°13′38″N,85°24′26″W
Lincoln,Nebraska,258379,89.1,40°48′32″N,96°40′44″W
Waco,Texas,124805,89,31°33′5″N,97°9′21″W
Laredo,Texas,236091,88.9,27°31′25″N,99°29′25″W
Denton,Texas,113383,88,33°12′59″N,97°7′45″W
Oak Ridge,Tennessee,29330,85.3,36°0′37″N,84°16′11″W
Edmond,Oklahoma,81405,84.7,35°39′N,97°28′W
Seattle,Washington,608660,83.9,47°36′35″N,122°19′59″W
Beaumont,Texas,118296,82.8,30°04′48″N,94°07′36″W
Springfield,Missouri,159498,81.7,37°12′55″N,93°17′54″W
Riverside,California,303871,81.1,33°56′53″N,117°23′46″W
Lawton,Oklahoma,96867,81,34°36′15″N,98°23′44″W
Baltimore ,Maryland,620961,80.9,39°17′22″N,76°36′55″W
Des Moines,Iowa,203433,80.9,41°35′27″N,93°37′15″W
Toledo,Ohio,287208,80.7,41°39′56″N,83°34′31″W
Jonesboro,Arkansas,67263,79.9,35°49′41″N,90°41′39″W
Boise,Idaho,205671,79.4,43°36′57″N,116°12′6″W
Ellsworth,Maine,7741,79.3,44°34′20″N,68°28′34″W
Caribou,Maine,8189,79.3,46°51′49″N,67°59′53″W
El Reno,Oklahoma,16749,79.2,35°31′56″N,97°57′18″W
Cincinnati,Ohio,296943,77.9,39°6′N,84°31′W
Cleveland,Ohio,396815,77.7,41°29′N,81°40′W
Independence,Missouri,116830,77.6,39°4′47″N,94°24′24″W
Fremont,California,214089,77.5,37°32′54″N,121°59′19″W
Baton Rouge,Louisiana,229493,76.9,30°26′51″N,91°10′43″W
Port Arthur,Texas,53818,76.9,29°53′6″N,93°56′24″W
Madison,Wisconsin,233209,76.8,43°04′29″N,89°23′03″W
Las Cruces,New Mexico,97618,76.5,32°18′52″N,106°46′44″W
Presque Isle,Maine,9692,75.8,46°40′46″N,68°0′8″W
